funding_department_id,funding_department_name,funding_agency_id,funding_agency_name,funding_office_id,funding_office_name,dollars_obligated,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1204R4,WILLAMETTE NATIONAL FOREST,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1204T0,SIUSLAW NATIONAL FOREST,"-13,929.00",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1204T1,UMPQUA NATIONAL FOREST,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1204T1,UMPQUA NATIONAL FOREST,"-1,099.00",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1204T1,UMPQUA NATIONAL FOREST,-320.75,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1204T1,UMPQUA NATIONAL FOREST,"29,845.00",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1204T1,UMPQUA NATIONAL FOREST,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,123434,MONONGAHELA NATIONAL FOREST,"70,000.00",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,123434,MONONGAHELA NATIONAL FOREST,"269,568.00",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,123434,MONONGAHELA NATIONAL FOREST,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,123434,MONONGAHELA NATIONAL FOREST,"31,617.15",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,123434,MONONGAHELA NATIONAL FOREST,"145,140.00",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,123434,MONONGAHELA NATIONAL FOREST,"173,283.00",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,123434,MONONGAHELA NATIONAL FOREST,"58,936.41",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,123434,MONONGAHELA NATIONAL FOREST,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,123434,MONONGAHELA NATIONAL FOREST,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,123434,MONONGAHELA NATIONAL FOREST,"21,409.51",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,123434,MONONGAHELA NATIONAL FOREST,"32,640.00",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,123434,MONONGAHELA NATIONAL FOREST,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,123434,MONONGAHELA NATIONAL FOREST,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,123434,MONONGAHELA NATIONAL FOREST,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,123434,MONONGAHELA NATIONAL FOREST,"35,000.00",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,123434,MONONGAHELA NATIONAL FOREST,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,123434,MONONGAHELA NATIONAL FOREST,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,123434,MONONGAHELA NATIONAL FOREST,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,123434,MONONGAHELA NATIONAL FOREST,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,123434,MONONGAHELA NATIONAL FOREST,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,123434,MONONGAHELA NATIONAL FOREST,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,123434,MONONGAHELA NATIONAL FOREST,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,123434,MONONGAHELA NATIONAL FOREST,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,123434,MONONGAHELA NATIONAL FOREST,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,124283,NATIONAL FORESTS IN FLORIDA,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,124283,NATIONAL FORESTS IN FLORIDA,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,"108,965.82",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,"73,501.48",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,"65,875.70",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,"76,386.96",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,"72,185.48",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,"131,731.26",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,"36,245.55",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,"94,981.53",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,"133,660.80",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,"50,000.00",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,"16,849.70",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,"49,590.00",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,"75,839.00",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,"77,125.00",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,"37,712.08",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,"19,487.60",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,"15,512.00",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,"36,433.35",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,"38,223.90",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,"29,980.00",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,"61,005.00",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,"49,057.12",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,"86,633.45",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,"44,383.50",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,"71,328.00",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,"31,364.75",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,"44,591.12",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,"135,792.89",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,"18,925.00",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,"91,136.00",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,124568,SOUTHERN RESEARCH STATION,"-27,500.00",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,124670,FRANCIS MARION & SUMTER NATL FORESTS,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,124670,FRANCIS MARION & SUMTER NATL FORESTS,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,124M58,"USDA FOREST SERVICE, R8","150,632.00",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,124M58,"USDA FOREST SERVICE, R8","61,651.71",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1252B1,HOOSIER NATIONAL FOREST,"26,999.00",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1252B1,HOOSIER NATIONAL FOREST,"30,000.00",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1252B1,HOOSIER NATIONAL FOREST,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1252B1,HOOSIER NATIONAL FOREST,"50,000.00",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1252B1,HOOSIER NATIONAL FOREST,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1252B1,HOOSIER NATIONAL FOREST,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1252B1,HOOSIER NATIONAL FOREST,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1252B1,HOOSIER NATIONAL FOREST,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1252B1,HOOSIER NATIONAL FOREST,-56.40,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1252B1,HOOSIER NATIONAL FOREST,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1252B1,HOOSIER NATIONAL FOREST,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1255N9,WAYNE NATIONAL FOREST,"19,769.00",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1255N9,WAYNE NATIONAL FOREST,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1255N9,WAYNE NATIONAL FOREST,"12,087.75",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1255N9,WAYNE NATIONAL FOREST,"38,425.19",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1255N9,WAYNE NATIONAL FOREST,"1,778.11",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1255N9,WAYNE NATIONAL FOREST,"50,000.00",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1255N9,WAYNE NATIONAL FOREST,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1255N9,WAYNE NATIONAL FOREST,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1255N9,WAYNE NATIONAL FOREST,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1255N9,WAYNE NATIONAL FOREST,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1263PX,USDA FOREST SERVICE,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1263PX,USDA FOREST SERVICE,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1264R4,MARK TWAIN NATIONAL FOREST,"-2,506.99",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1264R4,MARK TWAIN NATIONAL FOREST,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1264R4,MARK TWAIN NATIONAL FOREST,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1264R4,MARK TWAIN NATIONAL FOREST,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1264R4,MARK TWAIN NATIONAL FOREST,"314,655.00",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1264R4,MARK TWAIN NATIONAL FOREST,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1264R4,MARK TWAIN NATIONAL FOREST,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1264R4,MARK TWAIN NATIONAL FOREST,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1264R4,MARK TWAIN NATIONAL FOREST,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1264R4,MARK TWAIN NATIONAL FOREST,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1264R4,MARK TWAIN NATIONAL FOREST,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1264R4,MARK TWAIN NATIONAL FOREST,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1264R4,MARK TWAIN NATIONAL FOREST,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1264S7,"US FORESTSERVICE, MARK TWAIN NF","157,334.88",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1264S7,"US FORESTSERVICE, MARK TWAIN NF",0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1271JM,USDA  FOREST SERVICE,"131,682.40",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1271JM,USDA  FOREST SERVICE,"80,751.00",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127A86,OUACHITA NATIONAL FOREST,"72,907.00",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127A86,OUACHITA NATIONAL FOREST,"41,152.70",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127A86,OUACHITA NATIONAL FOREST,"53,704.60",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127A86,OUACHITA NATIONAL FOREST,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127A86,OUACHITA NATIONAL FOREST,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127A86,OUACHITA NATIONAL FOREST,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127A86,OUACHITA NATIONAL FOREST,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127A86,OUACHITA NATIONAL FOREST,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127A86,OUACHITA NATIONAL FOREST,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127A86,OUACHITA NATIONAL FOREST,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127A86,OUACHITA NATIONAL FOREST,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127A86,OUACHITA NATIONAL FOREST,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127A86,OUACHITA NATIONAL FOREST,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127A86,OUACHITA NATIONAL FOREST,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127A86,OUACHITA NATIONAL FOREST,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127A86,OUACHITA NATIONAL FOREST,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127CJ5,USDA  FOREST SERVICE,"53,733.99",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127CJ5,USDA  FOREST SERVICE,"86,889.00",,,,,,,,,,,,,,,,,,
