funding_department_id,funding_department_name,funding_agency_id,funding_agency_name,funding_office_id,funding_office_name,dollars_obligated
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1204T1,UMPQUA NATIONAL FOREST,29845.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1204T1,UMPQUA NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,123434,MONONGAHELA NATIONAL FOREST,70000.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,123434,MONONGAHELA NATIONAL FOREST,269568.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,123434,MONONGAHELA NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,123434,MONONGAHELA NATIONAL FOREST,31617.15
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,123434,MONONGAHELA NATIONAL FOREST,145140.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,123434,MONONGAHELA NATIONAL FOREST,173283.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,123434,MONONGAHELA NATIONAL FOREST,58936.41
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,123434,MONONGAHELA NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,123434,MONONGAHELA NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,123434,MONONGAHELA NATIONAL FOREST,21409.51
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,123434,MONONGAHELA NATIONAL FOREST,32640.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,123434,MONONGAHELA NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,123434,MONONGAHELA NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,123434,MONONGAHELA NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,123434,MONONGAHELA NATIONAL FOREST,35000.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,123434,MONONGAHELA NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,123434,MONONGAHELA NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,123434,MONONGAHELA NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,123434,MONONGAHELA NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,123434,MONONGAHELA NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,123434,MONONGAHELA NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,123434,MONONGAHELA NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,123434,MONONGAHELA NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,123434,MONONGAHELA NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,124283,NATIONAL FORESTS IN FLORIDA,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,124283,NATIONAL FORESTS IN FLORIDA,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,108965.82
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,73501.48
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,65875.70
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,76386.96
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,72185.48
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,131731.26
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,36245.55
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,94981.53
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,133660.80
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,50000.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,16849.70
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,49590.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,75839.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,77125.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,37712.08
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,19487.60
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,15512.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,36433.35
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,38223.90
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,29980.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,61005.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,49057.12
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,86633.45
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,44383.50
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,71328.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,31364.75
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,44591.12
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,135792.89
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,18925.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12447U,NATIONAL FORESTS IN MISSISSIPPI,91136.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,124568,SOUTHERN RESEARCH STATION,-27500.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,124670,FRANCIS MARION & SUMTER NATL FORESTS,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,124670,FRANCIS MARION & SUMTER NATL FORESTS,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,124M58,"USDA FOREST SERVICE, R8",150632.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,124M58,"USDA FOREST SERVICE, R8",61651.71
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1252B1,HOOSIER NATIONAL FOREST,26999.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1252B1,HOOSIER NATIONAL FOREST,30000.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1252B1,HOOSIER NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1252B1,HOOSIER NATIONAL FOREST,50000.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1252B1,HOOSIER NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1252B1,HOOSIER NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1252B1,HOOSIER NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1252B1,HOOSIER NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1252B1,HOOSIER NATIONAL FOREST,-56.40
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1252B1,HOOSIER NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1252B1,HOOSIER NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1255N9,WAYNE NATIONAL FOREST,19769.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1255N9,WAYNE NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1255N9,WAYNE NATIONAL FOREST,12087.75
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1255N9,WAYNE NATIONAL FOREST,38425.19
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1255N9,WAYNE NATIONAL FOREST,1778.11
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1255N9,WAYNE NATIONAL FOREST,50000.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1255N9,WAYNE NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1255N9,WAYNE NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1255N9,WAYNE NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1255N9,WAYNE NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1263PX,USDA FOREST SERVICE,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1263PX,USDA FOREST SERVICE,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1264R4,MARK TWAIN NATIONAL FOREST,-2506.99
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1264R4,MARK TWAIN NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1264R4,MARK TWAIN NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1264R4,MARK TWAIN NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1264R4,MARK TWAIN NATIONAL FOREST,314655.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1264R4,MARK TWAIN NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1264R4,MARK TWAIN NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1264R4,MARK TWAIN NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1264R4,MARK TWAIN NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1264R4,MARK TWAIN NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1264R4,MARK TWAIN NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1264R4,MARK TWAIN NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1264R4,MARK TWAIN NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1264S7,"US FORESTSERVICE, MARK TWAIN NF",157334.88
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1264S7,"US FORESTSERVICE, MARK TWAIN NF",0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1271JM,USDA  FOREST SERVICE,131682.40
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1271JM,USDA  FOREST SERVICE,80751.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127A86,OUACHITA NATIONAL FOREST,72907.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127A86,OUACHITA NATIONAL FOREST,41152.70
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127A86,OUACHITA NATIONAL FOREST,53704.60
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127A86,OUACHITA NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127A86,OUACHITA NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127A86,OUACHITA NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127A86,OUACHITA NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127A86,OUACHITA NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127A86,OUACHITA NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127A86,OUACHITA NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127A86,OUACHITA NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127A86,OUACHITA NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127A86,OUACHITA NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127A86,OUACHITA NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127A86,OUACHITA NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127A86,OUACHITA NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127CJ5,USDA  FOREST SERVICE,53733.99
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127CJ5,USDA  FOREST SERVICE,86889.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127CJ5,USDA  FOREST SERVICE,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127CJ5,USDA  FOREST SERVICE,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127CJ5,USDA  FOREST SERVICE,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127CJ5,USDA  FOREST SERVICE,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127DE2,USDA FOREST SERVICE,128420.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127DF5,NATIONAL FORESTS & GRASSLANDS IN TEXAS,142455.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127DF5,NATIONAL FORESTS & GRASSLANDS IN TEXAS,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127DF5,NATIONAL FORESTS & GRASSLANDS IN TEXAS,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127DF5,NATIONAL FORESTS & GRASSLANDS IN TEXAS,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127DF5,NATIONAL FORESTS & GRASSLANDS IN TEXAS,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127DF5,NATIONAL FORESTS & GRASSLANDS IN TEXAS,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127DF5,NATIONAL FORESTS & GRASSLANDS IN TEXAS,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127DF5,NATIONAL FORESTS & GRASSLANDS IN TEXAS,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127J12,USDA  FOREST SERVICE,174169.10
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127J12,USDA  FOREST SERVICE,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127J12,USDA  FOREST SERVICE,141334.30
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127J12,USDA  FOREST SERVICE,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127J12,USDA  FOREST SERVICE,170000.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127J14,USDA  FOREST SERVICE,81000.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127J14,USDA  FOREST SERVICE,136331.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127J14,USDA  FOREST SERVICE,76560.98
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127J14,USDA  FOREST SERVICE,46459.50
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127J14,USDA  FOREST SERVICE,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127J14,USDA  FOREST SERVICE,69436.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127J14,USDA  FOREST SERVICE,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127J14,USDA  FOREST SERVICE,41469.70
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127J14,USDA  FOREST SERVICE,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127J14,USDA  FOREST SERVICE,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127J15,USDA  FOREST SERVICE,82628.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127J15,USDA  FOREST SERVICE,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127J15,USDA  FOREST SERVICE,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127J15,USDA  FOREST SERVICE,75799.20
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127J15,USDA  FOREST SERVICE,45265.69
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127J15,USDA  FOREST SERVICE,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127J15,USDA  FOREST SERVICE,26545.10
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127J15,USDA  FOREST SERVICE,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127J15,USDA  FOREST SERVICE,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127J18,OZARK/ST. FRANCIS NATIONAL FOREST,49972.90
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127J18,OZARK/ST. FRANCIS NATIONAL FOREST,91500.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127J18,OZARK/ST. FRANCIS NATIONAL FOREST,44945.23
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127J18,OZARK/ST. FRANCIS NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127J18,OZARK/ST. FRANCIS NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127J18,OZARK/ST. FRANCIS NATIONAL FOREST,44980.40
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127J18,OZARK/ST. FRANCIS NATIONAL FOREST,29999.93
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127J18,OZARK/ST. FRANCIS NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127J18,OZARK/ST. FRANCIS NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,127J18,OZARK/ST. FRANCIS NATIONAL FOREST,0.00
